"MagicNumber","Num_Trades","Mean_profit"
1201206,311,-766.49
1201210,268,-531.69
1201223,258,-432.9
1201222,251,-239.61
1201207,242,-524.3
1201212,234,-308.2
1201204,222,52.6
1201209,195,-250.67
1201214,189,328.81
1201217,171,-37.63
1201213,148,205.14
1201220,148,-18.82
1201218,135,-400.59
1201227,129,-75.04
1201202,120,-262.73
1201205,120,-188.79
1201203,119,-338.98
1201200,108,-206.84
1201215,108,-4.73999999999999
1201226,107,-117.46
1201221,106,-221.98
1201201,102,-46.77
1201224,98,-170.06
1201211,97,-164.46
1201219,88,-169.53
1201225,87,-77.56
1201208,74,-121.2
1201216,53,-20.08
